EmployeeNumber:int,EducationField:string,JobInvolvement:string,JobLevel:int,JobRole:string,BusinessTravel:string,Department:string,Attrition:string,DailyRate:int
169,Technical Degree,High,1,Laboratory Technician,Travel_Rarely,Research & Development,No,594
170,Medical,High,2,Manufacturing Director,Travel_Rarely,Research & Development,No,470
171,Medical,Very High,1,Research Scientist,Travel_Frequently,Research & Development,No,957
174,Marketing,High,3,Sales Executive,Travel_Frequently,Sales,No,809
175,Life Sciences,Low,2,Sales Executive,Travel_Rarely,Sales,Yes,542
176,Life Sciences,High,3,Sales Executive,Travel_Rarely,Sales,No,802
177,Life Sciences,High,1,Human Resources,Travel_Rarely,Human Resources,No,1355
178,Medical,High,2,Manufacturing Director,Travel_Rarely,Research & Development,No,216
179,Life Sciences,Low,3,Manufacturing Director,Travel_Frequently,Research & Development,Yes,1150
182,Life Sciences,Medium,2,Sales Executive,Travel_Rarely,Sales,No,1329
183,Life Sciences,Medium,2,Sales Executive,Travel_Rarely,Sales,No,959
184,Human Resources,High,2,Human Resources,Travel_Rarely,Human Resources,No,1240
190,Medical,High,1,Laboratory Technician,Travel_Rarely,Research & Development,Yes,1033
192,Medical,High,1,Research Scientist,Travel_Rarely,Research & Development,No,1316
193,Technical Degree,High,2,Research Scientist,Travel_Rarely,Research & Development,No,364
194,Life Sciences,High,1,Research Scientist,Travel_Rarely,Research & Development,No,438
195,Medical,Low,2,Sales Executive,Travel_Frequently,Sales,No,689
197,Technical Degree,High,1,Research Scientist,Travel_Rarely,Research & Development,No,201
198,Medical,Medium,1,Laboratory Technician,Travel_Rarely,Research & Development,No,1427
199,Life Sciences,Medium,4,Manager,Travel_Frequently,Research & Development,No,857
200,Life Sciences,High,1,Laboratory Technician,Travel_Rarely,Research & Development,No,933
201,Medical,High,1,Laboratory Technician,Travel_Rarely,Research & Development,No,1181
202,Medical,High,2,Research Scientist,Travel_Frequently,Research & Development,No,1395
204,Marketing,High,3,Sales Executive,Travel_Rarely,Sales,No,662
205,Marketing,High,2,Sales Representative,Travel_Rarely,Sales,No,1436
206,Life Sciences,High,2,Laboratory Technician,Travel_Rarely,Research & Development,No,194
207,Marketing,High,3,Sales Executive,Travel_Frequently,Sales,No,967
208,Technical Degree,High,2,Manufacturing Director,Non-Travel,Research & Development,No,1496
211,Medical,Medium,2,Manufacturing Director,Travel_Rarely,Research & Development,No,1169
214,Medical,Medium,1,Research Scientist,Travel_Rarely,Research & Development,No,1145
215,Marketing,Medium,3,Sales Executive,Travel_Rarely,Sales,No,630
216,Marketing,High,1,Sales Representative,Travel_Frequently,Sales,No,303
217,Medical,High,1,Research Scientist,Travel_Rarely,Research & Development,No,1256
218,Medical,High,1,Research Scientist,Non-Travel,Research & Development,No,691
221,Medical,High,1,Research Scientist,Travel_Rarely,Research & Development,No,440
223,Life Sciences,Very High,3,Healthcare Representative,Travel_Rarely,Research & Development,No,334
224,Medical,Medium,1,Research Scientist,Non-Travel,Research & Development,No,1450
226,Life Sciences,High,5,Manager,Travel_Rarely,Research & Development,No,1452
227,Life Sciences,High,1,Research Scientist,Travel_Rarely,Research & Development,No,465
228,Life Sciences,High,3,Sales Executive,Travel_Rarely,Sales,No,1339
230,Life Sciences,Medium,2,Sales Executive,Travel_Rarely,Sales,No,702
231,Life Sciences,High,1,Research Scientist,Travel_Rarely,Research & Development,No,120
233,Technical Degree,High,1,Research Scientist,Travel_Rarely,Research & Development,No,1157
235,Technical Degree,Low,1,Sales Representative,Travel_Frequently,Sales,Yes,602
238,Medical,High,1,Laboratory Technician,Travel_Frequently,Research & Development,No,1480
239,Medical,High,2,Laboratory Technician,Non-Travel,Research & Development,No,111
240,Life Sciences,High,2,Sales Executive,Travel_Rarely,Sales,No,1268
241,Life Sciences,High,1,Research Scientist,Travel_Rarely,Research & Development,No,713
242,Life Sciences,High,1,Research Scientist,Travel_Rarely,Research & Development,No,134
243,Life Sciences,Medium,1,Laboratory Technician,Travel_Rarely,Research & Development,Yes,303
244,Marketing,High,3,Sales Executive,Travel_Rarely,Sales,No,526
245,Life Sciences,High,1,Laboratory Technician,Travel_Rarely,Research & Development,No,1380
246,Medical,High,1,Research Scientist,Travel_Rarely,Research & Development,No,140
247,Medical,High,1,Research Scientist,Travel_Rarely,Research & Development,No,629
248,Marketing,High,1,Sales Representative,Travel_Rarely,Sales,Yes,1356
249,Medical,Medium,1,Laboratory Technician,Travel_Rarely,Research & Development,No,328
250,Medical,Very High,2,Manufacturing Director,Travel_Rarely,Research & Development,No,1084
252,Medical,High,1,Research Scientist,Travel_Rarely,Research & Development,No,931
253,Medical,High,5,Manager,Travel_Rarely,Research & Development,No,989
254,Medical,Very High,5,Research Director,Travel_Rarely,Research & Development,No,692
256,Life Sciences,Medium,2,Manufacturing Director,Travel_Frequently,Research & Development,No,1069
258,Medical,High,4,Healthcare Representative,Travel_Rarely,Research & Development,No,313
259,Life Sciences,Medium,5,Manager,Travel_Rarely,Research & Development,No,699
260,Medical,High,1,Research Scientist,Travel_Rarely,Research & Development,No,894
261,Life Sciences,Medium,2,Manufacturing Director,Travel_Rarely,Research & Development,Yes,556
262,Medical,Very High,1,Research Scientist,Non-Travel,Research & Development,No,1344
264,Medical,Medium,4,Manager,Non-Travel,Research & Development,No,1195
267,Life Sciences,Very High,1,Research Scientist,Travel_Rarely,Research & Development,No,290
269,Medical,High,2,Laboratory Technician,Travel_Frequently,Research & Development,No,138
270,Medical,High,2,Manufacturing Director,Non-Travel,Research & Development,No,926
271,Life Sciences,High,2,Manufacturing Director,Travel_Rarely,Research & Development,No,1261
273,Technical Degree,High,2,Manufacturing Director,Travel_Rarely,Research & Development,No,1084
274,Technical Degree,Medium,2,Manufacturing Director,Travel_Frequently,Research & Development,No,472
275,Life Sciences,High,2,Manufacturing Director,Non-Travel,Research & Development,No,1002
277,Medical,High,1,Research Scientist,Travel_Frequently,Research & Development,No,878
281,Medical,High,2,Laboratory Technician,Travel_Rarely,Research & Development,No,905
282,Medical,High,2,Healthcare Representative,Travel_Rarely,Research & Development,Yes,1180
283,Marketing,High,3,Sales Executive,Travel_Rarely,Sales,Yes,121
284,Life Sciences,Very High,1,Research Scientist,Travel_Rarely,Research & Development,No,1136
286,Medical,High,1,Laboratory Technician,Travel_Frequently,Research & Development,No,635
287,Life Sciences,Medium,2,Healthcare Representative,Non-Travel,Research & Development,No,1151
288,Medical,High,3,Healthcare Representative,Travel_Rarely,Research & Development,No,644
291,Medical,Low,3,Sales Executive,Travel_Rarely,Sales,Yes,1045
292,Life Sciences,Medium,3,Manufacturing Director,Non-Travel,Research & Development,No,829
293,Life Sciences,High,2,Sales Executive,Travel_Frequently,Sales,No,1242
296,Life Sciences,Medium,3,Research Director,Travel_Rarely,Research & Development,No,1469
297,Technical Degree,High,1,Research Scientist,Travel_Rarely,Research & Development,Yes,1005
298,Life Sciences,High,3,Manager,Travel_Rarely,Sales,No,896
299,Marketing,Medium,2,Sales Executive,Travel_Frequently,Sales,Yes,334
300,Technical Degree,High,1,Research Scientist,Travel_Rarely,Research & Development,Yes,992
302,Medical,Medium,3,Sales Executive,Non-Travel,Sales,No,1052
303,Marketing,High,2,Sales Executive,Travel_Rarely,Sales,No,1147
304,Life Sciences,High,2,Laboratory Technician,Travel_Rarely,Research & Development,No,1396
305,Medical,Medium,1,Research Scientist,Travel_Rarely,Research & Development,No,147
306,Other,High,3,Research Director,Travel_Frequently,Research & Development,No,663
307,Life Sciences,High,3,Sales Executive,Travel_Rarely,Sales,No,119
308,Medical,Low,2,Manufacturing Director,Non-Travel,Research & Development,No,979
309,Life Sciences,Medium,1,Research Scientist,Travel_Rarely,Research & Development,No,142
311,Marketing,High,1,Sales Representative,Travel_Frequently,Sales,No,319
312,Medical,High,3,Sales Executive,Travel_Frequently,Sales,No,1413
314,Marketing,High,3,Sales Executive,Travel_Frequently,Sales,No,944
315,Medical,Medium,1,Research Scientist,Travel_Rarely,Research & Development,Yes,896
316,Life Sciences,Medium,1,Laboratory Technician,Travel_Rarely,Research & Development,No,1323
319,Technical Degree,High,5,Manager,Travel_Rarely,Research & Development,No,532
321,Medical,High,1,Human Resources,Travel_Rarely,Human Resources,No,818
323,Medical,High,5,Manager,Travel_Rarely,Sales,No,854
325,Medical,High,1,Laboratory Technician,Travel_Rarely,Research & Development,Yes,813
327,Marketing,High,4,Manager,Travel_Rarely,Sales,No,1034
328,Life Sciences,High,1,Laboratory Technician,Travel_Rarely,Research & Development,Yes,465
329,Life Sciences,Medium,5,Manager,Non-Travel,Sales,No,771
330,Life Sciences,High,1,Sales Representative,Travel_Rarely,Sales,No,1401
331,Life Sciences,Medium,1,Laboratory Technician,Travel_Rarely,Research & Development,Yes,515
332,Medical,High,1,Laboratory Technician,Travel_Rarely,Research & Development,No,1431
333,Marketing,High,2,Sales Executive,Non-Travel,Sales,No,976
334,Life Sciences,High,2,Research Scientist,Travel_Rarely,Research & Development,No,1411
335,Technical Degree,High,2,Research Scientist,Travel_Rarely,Research & Development,No,1300
336,Other,Very High,5,Manager,Travel_Rarely,Research & Development,No,252
337,Medical,High,3,Research Director,Travel_Frequently,Research & Development,No,1327
338,Life Sciences,Medium,1,Research Scientist,Travel_Rarely,Research & Development,No,832
339,Life Sciences,Medium,2,Manufacturing Director,Travel_Rarely,Research & Development,No,470
340,Medical,Medium,1,Research Scientist,Travel_Rarely,Research & Development,No,1017
341,Life Sciences,Very High,2,Manufacturing Director,Travel_Frequently,Research & Development,No,1199
342,Medical,High,3,Manufacturing Director,Travel_Frequently,Research & Development,Yes,504
343,Technical Degree,High,3,Healthcare Representative,Travel_Frequently,Research & Development,No,505
346,Life Sciences,High,1,Research Scientist,Travel_Rarely,Research & Development,No,665
347,Life Sciences,Very High,2,Research Scientist,Travel_Rarely,Research & Development,No,916
349,Marketing,High,2,Sales Executive,Travel_Rarely,Sales,No,1247
350,Life Sciences,High,2,Manufacturing Director,Travel_Rarely,Research & Development,No,685
351,Medical,Medium,1,Laboratory Technician,Travel_Rarely,Research & Development,No,269
352,Medical,High,5,Research Director,Travel_Rarely,Research & Development,No,1416
353,Life Sciences,High,1,Research Scientist,Travel_Rarely,Research & Development,No,833
355,Medical,Medium,1,Laboratory Technician,Travel_Frequently,Research & Development,Yes,307
359,Life Sciences,Very High,1,Laboratory Technician,Travel_Frequently,Research & Development,No,1311
361,Life Sciences,Medium,2,Sales Executive,Non-Travel,Sales,No,1327
362,Technical Degree,Medium,2,Laboratory Technician,Travel_Rarely,Research & Development,No,128
363,Technical Degree,Low,4,Manager,Travel_Rarely,Sales,No,488
364,Life Sciences,High,1,Laboratory Technician,Travel_Rarely,Research & Development,Yes,529
366,Medical,Medium,2,Sales Executive,Travel_Rarely,Sales,No,1210
367,Medical,Medium,2,Healthcare Representative,Travel_Rarely,Research & Development,No,1463
369,Life Sciences,Very High,2,Healthcare Representative,Non-Travel,Research & Development,No,675
372,Medical,High,4,Healthcare Representative,Travel_Rarely,Research & Development,No,1385
373,Life Sciences,High,1,Laboratory Technician,Travel_Rarely,Research & Development,No,1403
374,Medical,High,5,Manager,Travel_Rarely,Research & Development,No,452
376,Life Sciences,High,3,Manager,Non-Travel,Research & Development,Yes,666
377,Medical,High,1,Research Scientist,Travel_Rarely,Research & Development,No,1158
378,Medical,High,2,Sales Executive,Travel_Rarely,Sales,No,228
379,Medical,Medium,1,Research Scientist,Travel_Rarely,Research & Development,No,996
380,Medical,High,3,Research Director,Non-Travel,Research & Development,No,728
381,Life Sciences,Very High,3,Manager,Travel_Rarely,Research & Development,No,1315
382,Medical,Very High,2,Sales Executive,Travel_Rarely,Sales,No,322
384,Life Sciences,High,2,Manufacturing Director,Travel_Frequently,Research & Development,No,1479
385,Life Sciences,High,5,Research Director,Travel_Rarely,Research & Development,No,797
386,Medical,High,4,Research Director,Travel_Rarely,Research & Development,No,1070
387,Life Sciences,High,2,Sales Executive,Travel_Rarely,Sales,No,635
388,Life Sciences,High,2,Sales Executive,Travel_Frequently,Sales,No,442
389,Technical Degree,High,2,Laboratory Technician,Travel_Rarely,Research & Development,No,147
390,Medical,High,2,Healthcare Representative,Travel_Frequently,Research & Development,No,496
391,Life Sciences,High,1,Research Scientist,Travel_Rarely,Research & Development,No,1372
392,Life Sciences,High,1,Laboratory Technician,Travel_Frequently,Research & Development,Yes,920
393,Life Sciences,High,2,Healthcare Representative,Travel_Rarely,Research & Development,No,688
394,Medical,High,1,Laboratory Technician,Travel_Rarely,Research & Development,Yes,1449
395,Life Sciences,High,1,Research Scientist,Travel_Rarely,Research & Development,No,1117
396,Life Sciences,High,5,Research Director,Travel_Frequently,Research & Development,No,636
397,Technical Degree,High,2,Research Scientist,Travel_Rarely,Research & Development,No,506
399,Marketing,High,1,Sales Representative,Travel_Frequently,Sales,No,444
401,Marketing,Medium,2,Sales Executive,Travel_Rarely,Sales,Yes,950
403,Medical,High,1,Research Scientist,Travel_Frequently,Research & Development,No,889
404,Marketing,High,4,Sales Executive,Travel_Frequently,Sales,No,555
405,Life Sciences,High,1,Laboratory Technician,Travel_Rarely,Research & Development,Yes,230
406,Marketing,High,3,Sales Executive,Travel_Rarely,Sales,No,1232
407,Life Sciences,Very High,1,Laboratory Technician,Travel_Frequently,Research & Development,No,566
408,Medical,Low,2,Manufacturing Director,Travel_Rarely,Research & Development,No,1302
410,Life Sciences,High,4,Manager,Travel_Rarely,Sales,No,334
411,Medical,Medium,1,Sales Representative,Travel_Rarely,Sales,No,812
412,Medical,Very High,2,Healthcare Representative,Travel_Rarely,Research & Development,No,1476
416,Technical Degree,Very High,2,Sales Executive,Travel_Rarely,Sales,No,218
417,Medical,Very High,3,Healthcare Representative,Travel_Rarely,Research & Development,No,1132
419,Life Sciences,High,2,Laboratory Technician,Non-Travel,Research & Development,No,1105
420,Life Sciences,Medium,2,Sales Executive,Travel_Rarely,Sales,No,906
421,Life Sciences,Medium,3,Research Director,Travel_Rarely,Research & Development,No,849
422,Life Sciences,Low,2,Healthcare Representative,Non-Travel,Research & Development,No,390
423,Technical Degree,High,1,Research Scientist,Travel_Rarely,Research & Development,No,691
424,Human Resources,Medium,2,Human Resources,Travel_Rarely,Human Resources,No,106
425,Life Sciences,High,3,Laboratory Technician,Travel_Frequently,Research & Development,No,1249
426,Life Sciences,High,1,Research Scientist,Travel_Rarely,Research & Development,No,192
428,Life Sciences,High,3,Manager,Travel_Frequently,Research & Development,No,553
429,Medical,High,4,Manager,Travel_Rarely,Research & Development,No,117
430,Life Sciences,High,1,Laboratory Technician,Travel_Frequently,Research & Development,No,185
431,Technical Degree,Medium,4,Healthcare Representative,Travel_Rarely,Research & Development,No,1091
433,Medical,Medium,2,Research Scientist,Travel_Rarely,Research & Development,Yes,723
434,Life Sciences,High,1,Research Scientist,Travel_Rarely,Research & Development,No,1220
436,Technical Degree,Medium,2,Sales Executive,Travel_Rarely,Sales,No,588
437,Life Sciences,High,2,Sales Executive,Travel_Rarely,Sales,No,1377
438,Marketing,High,2,Sales Executive,Travel_Rarely,Sales,No,691
439,Medical,Very High,2,Research Scientist,Travel_Rarely,Research & Development,No,1018
440,Medical,Low,1,Research Scientist,Travel_Rarely,Research & Development,Yes,1157
441,Medical,High,2,Research Scientist,Travel_Rarely,Research & Development,No,1275
442,Life Sciences,Medium,3,Manufacturing Director,Travel_Frequently,Research & Development,No,798
444,Medical,Medium,5,Manager,Travel_Frequently,Research & Development,No,672
445,Medical,High,2,Sales Executive,Travel_Rarely,Sales,Yes,1162
446,Marketing,Medium,2,Sales Executive,Travel_Frequently,Sales,No,508
447,Life Sciences,High,5,Research Director,Travel_Rarely,Research & Development,No,1482
448,Life Sciences,Medium,2,Laboratory Technician,Travel_Frequently,Research & Development,No,559
449,Marketing,High,2,Sales Executive,Non-Travel,Sales,No,210
450,Life Sciences,High,2,Research Scientist,Travel_Frequently,Research & Development,No,928
451,Life Sciences,High,3,Healthcare Representative,Travel_Rarely,Research & Development,No,1001
452,Other,High,2,Research Scientist,Travel_Rarely,Research & Development,No,549
453,Medical,Low,2,Sales Executive,Travel_Rarely,Sales,No,1124
454,Other,Low,1,Laboratory Technician,Travel_Rarely,Research & Development,Yes,318
455,Other,Medium,1,Laboratory Technician,Travel_Rarely,Research & Development,No,738
456,Marketing,Medium,2,Sales Executive,Travel_Rarely,Sales,No,570
458,Marketing,High,2,Sales Executive,Travel_Rarely,Sales,No,1130
460,Medical,High,2,Manufacturing Director,Travel_Rarely,Research & Development,No,1192
461,Life Sciences,Medium,3,Research Director,Travel_Rarely,Research & Development,No,343
462,Medical,High,3,Manufacturing Director,Travel_Rarely,Research & Development,No,1232
463,Marketing,Medium,2,Sales Executive,Travel_Rarely,Sales,No,144
464,Technical Degree,High,3,Manufacturing Director,Travel_Rarely,Research & Development,No,1296
465,Life Sciences,High,1,Research Scientist,Travel_Rarely,Research & Development,No,1309
466,Medical,Medium,2,Manufacturing Director,Travel_Rarely,Research & Development,No,483
467,Medical,High,2,Sales Representative,Travel_Frequently,Sales,No,1309
468,Life Sciences,High,4,Research Director,Travel_Rarely,Research & Development,No,810
469,Life Sciences,High,2,Sales Executive,Non-Travel,Sales,No,746
470,Technical Degree,High,1,Human Resources,Travel_Rarely,Human Resources,No,544
471,Medical,High,1,Laboratory Technician,Travel_Rarely,Research & Development,No,1062
473,Medical,High,3,Manager,Travel_Rarely,Sales,No,530
474,Medical,Very High,2,Research Scientist,Travel_Rarely,Research & Development,No,1319
475,Technical Degree,High,2,Sales Executive,Non-Travel,Sales,No,641
476,Life Sciences,High,2,Sales Executive,Travel_Rarely,Sales,No,933
477,Other,Medium,2,Healthcare Representative,Travel_Rarely,Research & Development,No,1332
478,Technical Degree,Medium,1,Sales Representative,Travel_Frequently,Sales,Yes,756
