Age:int,Attrition:string,BusinessTravel:string,DailyRate:int,Department:string,DistanceFromHome:int,Education:string,EducationField:string,EmployeeCount:int,EmployeeNumber:int,EnvironmentSatisfaction:string,Gender:string,HourlyRate:int,JobInvolvement:string,JobLevel:int,JobRole:string,JobSatisfaction:int,MaritalStatus:string,MonthlyIncome:int,MonthlyRate:int,NumCompaniesWorked:int,Over18:string,OverTime:string,PercentSalaryHike:int,PerformanceRating:string,RelationshipSatisfaction:string,StandardHours:int,StockOptionLevel:int,TotalWorkingYears:int,TrainingTimesLastYear:int,WorkLifeBalance:string,YearsAtCompany:int,YearsInCurrentRole:int,YearsSinceLastPromotion:int,YearsWithCurrManager:int
46,No,Travel_Rarely,705,Sales,2,Master,Marketing,1,38,Medium,Female,83,High,5,Manager,1,Single,18947,22822,3,Y,No,12,Excellent,Very High,80,0,22,2,Good,2,2,2,1
33,No,Travel_Rarely,924,Research & Development,2,Bachelor,Medical,1,39,High,Male,78,High,1,Laboratory Technician,4,Single,2496,6670,4,Y,No,11,Excellent,Very High,80,0,7,3,Better,1,1,0,0
44,No,Travel_Rarely,1459,Research & Development,10,Master,Other,1,40,Very High,Male,41,High,2,Healthcare Representative,4,Married,6465,19121,2,Y,Yes,13,Excellent,Very High,80,0,9,5,Best,4,2,1,3
30,No,Travel_Rarely,125,Research & Development,9,College,Medical,1,41,Very High,Male,83,Medium,1,Laboratory Technician,3,Single,2206,16117,1,Y,No,13,Excellent,Low,80,0,10,5,Better,10,0,1,8
39,Yes,Travel_Rarely,895,Sales,5,Bachelor,Technical Degree,1,42,Very High,Male,56,High,2,Sales Representative,4,Married,2086,3335,3,Y,No,14,Excellent,High,80,1,19,6,Best,1,0,0,0
24,Yes,Travel_Rarely,813,Research & Development,1,Bachelor,Medical,1,45,Medium,Male,61,High,1,Research Scientist,4,Married,2293,3020,2,Y,Yes,16,Excellent,Low,80,1,6,2,Good,2,0,2,0
43,No,Travel_Rarely,1273,Research & Development,2,College,Medical,1,46,Very High,Female,72,Very High,1,Research Scientist,3,Divorced,2645,21923,1,Y,No,12,Excellent,Very High,80,2,6,3,Good,5,3,1,4
50,Yes,Travel_Rarely,869,Sales,3,College,Marketing,1,47,Low,Male,86,Medium,1,Sales Representative,3,Married,2683,3810,1,Y,Yes,14,Excellent,High,80,0,3,2,Better,3,2,0,2
35,No,Travel_Rarely,890,Sales,2,Bachelor,Marketing,1,49,Very High,Female,97,High,1,Sales Representative,4,Married,2014,9687,1,Y,No,13,Excellent,Low,80,0,2,3,Better,2,2,2,2
36,No,Travel_Rarely,852,Research & Development,5,Master,Life Sciences,1,51,Medium,Female,82,Medium,1,Research Scientist,1,Married,3419,13072,9,Y,Yes,14,Excellent,Very High,80,1,6,3,Best,1,1,0,0
33,No,Travel_Frequently,1141,Sales,1,Bachelor,Life Sciences,1,52,High,Female,42,Very High,2,Sales Executive,1,Married,5376,3193,2,Y,No,19,Excellent,Low,80,2,10,3,Better,5,3,1,3
35,No,Travel_Rarely,464,Research & Development,4,College,Other,1,53,High,Male,75,High,1,Laboratory Technician,4,Divorced,1951,10910,1,Y,No,12,Excellent,High,80,1,1,3,Better,1,0,0,0
27,No,Travel_Rarely,1240,Research & Development,2,Master,Life Sciences,1,54,Very High,Female,33,High,1,Laboratory Technician,1,Divorced,2341,19715,1,Y,No,13,Excellent,Very High,80,1,1,6,Better,1,0,0,0
26,Yes,Travel_Rarely,1357,Research & Development,25,Bachelor,Life Sciences,1,55,Low,Male,48,Low,1,Laboratory Technician,3,Single,2293,10558,1,Y,No,12,Excellent,High,80,0,1,2,Good,1,0,0,1
27,No,Travel_Frequently,994,Sales,8,Bachelor,Life Sciences,1,56,Very High,Male,37,High,3,Sales Executive,3,Single,8726,2975,1,Y,No,15,Excellent,Very High,80,0,9,0,Better,9,8,1,7
30,No,Travel_Frequently,721,Research & Development,1,College,Medical,1,57,High,Female,58,High,2,Laboratory Technician,4,Single,4011,10781,1,Y,No,23,Outstanding,Very High,80,0,12,2,Better,12,8,3,7
41,Yes,Travel_Rarely,1360,Research & Development,12,Bachelor,Technical Degree,1,58,Medium,Female,49,High,5,Research Director,3,Married,19545,16280,1,Y,No,12,Excellent,Very High,80,0,23,0,Better,22,15,15,8
34,No,Non-Travel,1065,Sales,23,Master,Marketing,1,60,Medium,Male,72,High,2,Sales Executive,3,Single,4568,10034,0,Y,No,20,Outstanding,High,80,0,10,2,Better,9,5,8,7
37,No,Travel_Rarely,408,Research & Development,19,College,Life Sciences,1,61,Medium,Male,73,High,1,Research Scientist,2,Married,3022,10227,4,Y,No,21,Outstanding,Low,80,0,8,1,Better,1,0,0,0
46,No,Travel_Frequently,1211,Sales,5,Master,Marketing,1,62,Low,Male,98,High,2,Sales Executive,4,Single,5772,20445,4,Y,Yes,21,Outstanding,High,80,0,14,4,Better,9,6,0,8
35,No,Travel_Rarely,1229,Research & Development,8,Below College,Life Sciences,1,63,Very High,Male,36,Very High,1,Laboratory Technician,4,Married,2269,4892,1,Y,No,19,Excellent,Very High,80,0,1,2,Better,1,0,0,1
48,Yes,Travel_Rarely,626,Research & Development,1,College,Life Sciences,1,64,Low,Male,98,Medium,3,Laboratory Technician,3,Single,5381,19294,9,Y,Yes,13,Excellent,Very High,80,0,23,2,Better,1,0,0,0
28,Yes,Travel_Rarely,1434,Research & Development,5,Master,Technical Degree,1,65,High,Male,50,High,1,Laboratory Technician,3,Single,3441,11179,1,Y,Yes,13,Excellent,High,80,0,2,3,Good,2,2,2,2
44,No,Travel_Rarely,1488,Sales,1,Doctor,Marketing,1,68,Medium,Female,75,High,2,Sales Executive,1,Divorced,5454,4009,5,Y,Yes,21,Outstanding,High,80,1,9,2,Good,4,3,1,3
35,No,Non-Travel,1097,Research & Development,11,College,Medical,1,70,High,Male,79,Medium,3,Healthcare Representative,1,Married,9884,8302,2,Y,Yes,13,Excellent,High,80,1,10,3,Better,4,0,2,3
26,No,Travel_Rarely,1443,Sales,23,Bachelor,Marketing,1,72,High,Female,47,Medium,2,Sales Executive,4,Married,4157,21436,7,Y,Yes,19,Excellent,High,80,1,5,2,Good,2,2,0,0
33,No,Travel_Frequently,515,Research & Development,1,College,Life Sciences,1,73,Low,Female,98,High,3,Research Director,4,Single,13458,15146,1,Y,Yes,12,Excellent,High,80,0,15,1,Better,15,14,8,12
35,No,Travel_Frequently,853,Sales,18,Doctor,Life Sciences,1,74,Medium,Male,71,High,3,Sales Executive,1,Married,9069,11031,1,Y,No,22,Outstanding,Very High,80,1,9,3,Good,9,8,1,8
35,No,Travel_Rarely,1142,Research & Development,23,Master,Medical,1,75,High,Female,30,High,1,Laboratory Technician,1,Married,4014,16002,3,Y,Yes,15,Excellent,High,80,1,4,3,Better,2,2,2,2
31,No,Travel_Rarely,655,Research & Development,7,Master,Life Sciences,1,76,Very High,Male,48,High,2,Laboratory Technician,4,Divorced,5915,9528,3,Y,No,22,Outstanding,Very High,80,1,10,3,Good,7,7,1,7
37,No,Travel_Rarely,1115,Research & Development,1,Master,Life Sciences,1,77,Low,Male,51,Medium,2,Manufacturing Director,3,Divorced,5993,2689,1,Y,No,18,Excellent,High,80,1,7,2,Best,7,5,0,7
32,No,Travel_Rarely,427,Research & Development,1,Bachelor,Medical,1,78,Low,Male,33,High,2,Manufacturing Director,4,Married,6162,10877,1,Y,Yes,22,Outstanding,Medium,80,1,9,3,Better,9,8,7,8
38,No,Travel_Frequently,653,Research & Development,29,Doctor,Life Sciences,1,79,Very High,Female,50,High,2,Laboratory Technician,4,Single,2406,5456,1,Y,No,11,Excellent,Very High,80,0,10,2,Better,10,3,9,9
50,No,Travel_Rarely,989,Research & Development,7,College,Medical,1,80,Medium,Female,43,Medium,5,Research Director,3,Divorced,18740,16701,5,Y,Yes,12,Excellent,Very High,80,1,29,2,Good,27,3,13,8
59,No,Travel_Rarely,1435,Sales,25,Bachelor,Life Sciences,1,81,Low,Female,99,High,3,Sales Executive,1,Single,7637,2354,7,Y,No,11,Excellent,Very High,80,0,28,3,Good,21,16,7,9
36,No,Travel_Rarely,1223,Research & Development,8,Bachelor,Technical Degree,1,83,High,Female,59,High,3,Healthcare Representative,3,Divorced,10096,8202,1,Y,No,13,Excellent,Medium,80,3,17,2,Better,17,14,12,8
55,No,Travel_Rarely,836,Research & Development,8,Bachelor,Medical,1,84,Very High,Female,33,High,4,Manager,3,Divorced,14756,19730,2,Y,Yes,14,Excellent,High,80,3,21,2,Better,5,0,0,2
36,No,Travel_Frequently,1195,Research & Development,11,Bachelor,Life Sciences,1,85,Medium,Male,95,Medium,2,Manufacturing Director,2,Single,6499,22656,1,Y,No,13,Excellent,High,80,0,6,3,Better,6,5,0,3
45,No,Travel_Rarely,1339,Research & Development,7,Bachelor,Life Sciences,1,86,Medium,Male,59,High,3,Research Scientist,1,Divorced,9724,18787,2,Y,No,17,Excellent,High,80,1,25,2,Better,1,0,0,0
35,No,Travel_Frequently,664,Research & Development,1,Bachelor,Medical,1,88,Medium,Male,79,High,1,Research Scientist,1,Married,2194,5868,4,Y,No,13,Excellent,Very High,80,1,5,2,Good,3,2,1,2
36,Yes,Travel_Rarely,318,Research & Development,9,Bachelor,Medical,1,90,Very High,Male,79,Medium,1,Research Scientist,3,Married,3388,21777,0,Y,Yes,17,Excellent,Low,80,1,2,0,Good,1,0,0,0
59,No,Travel_Frequently,1225,Sales,1,Below College,Life Sciences,1,91,Low,Female,57,Medium,2,Sales Executive,3,Single,5473,24668,7,Y,No,11,Excellent,Very High,80,0,20,2,Good,4,3,1,3
29,No,Travel_Rarely,1328,Research & Development,2,Bachelor,Life Sciences,1,94,High,Male,76,High,1,Research Scientist,2,Married,2703,4956,0,Y,No,23,Outstanding,Very High,80,1,6,3,Better,5,4,0,4
31,No,Travel_Rarely,1082,Research & Development,1,Master,Medical,1,95,High,Male,87,High,1,Research Scientist,2,Single,2501,18775,1,Y,No,17,Excellent,Medium,80,0,1,4,Better,1,1,1,0
32,No,Travel_Rarely,548,Research & Development,1,Bachelor,Life Sciences,1,96,Medium,Male,66,High,2,Research Scientist,2,Married,6220,7346,1,Y,No,17,Excellent,Medium,80,2,10,3,Better,10,4,0,9
36,No,Travel_Rarely,132,Research & Development,6,Bachelor,Life Sciences,1,97,Medium,Female,55,Very High,1,Laboratory Technician,4,Married,3038,22002,3,Y,No,12,Excellent,Medium,80,0,5,3,Better,1,0,0,0
31,No,Travel_Rarely,746,Research & Development,8,Master,Life Sciences,1,98,High,Female,61,High,2,Manufacturing Director,4,Single,4424,20682,1,Y,No,23,Outstanding,Very High,80,0,11,2,Better,11,7,1,8
35,No,Travel_Rarely,776,Sales,1,Master,Marketing,1,100,High,Male,32,Medium,2,Sales Executive,1,Single,4312,23016,0,Y,No,14,Excellent,Medium,80,0,16,2,Better,15,13,2,8
45,No,Travel_Rarely,193,Research & Development,6,Master,Other,1,101,Very High,Male,52,High,3,Research Director,1,Married,13245,15067,4,Y,Yes,14,Excellent,Medium,80,0,17,3,Best,0,0,0,0
37,No,Travel_Rarely,397,Research & Development,7,Master,Medical,1,102,Low,Male,30,High,3,Research Director,3,Single,13664,25258,4,Y,No,13,Excellent,Low,80,0,16,3,Best,5,2,0,2
46,No,Travel_Rarely,945,Human Resources,5,College,Medical,1,103,Medium,Male,80,High,2,Human Resources,2,Divorced,5021,10425,8,Y,Yes,22,Outstanding,Very High,80,1,16,2,Better,4,2,0,2
30,No,Travel_Rarely,852,Research & Development,1,Below College,Life Sciences,1,104,Very High,Male,55,Medium,2,Laboratory Technician,4,Married,5126,15998,1,Y,Yes,12,Excellent,High,80,2,10,1,Good,10,8,3,0
35,No,Travel_Rarely,1214,Research & Development,1,Bachelor,Medical,1,105,Medium,Male,30,Medium,1,Research Scientist,3,Single,2859,26278,1,Y,No,18,Excellent,Low,80,0,6,3,Better,6,4,0,4
55,No,Travel_Rarely,111,Sales,1,College,Life Sciences,1,106,Low,Male,70,High,3,Sales Executive,4,Married,10239,18092,3,Y,No,14,Excellent,Very High,80,1,24,4,Better,1,0,1,0
38,No,Non-Travel,573,Research & Development,6,Bachelor,Medical,1,107,Medium,Female,79,Low,2,Research Scientist,4,Divorced,5329,15717,7,Y,Yes,12,Excellent,Very High,80,3,17,3,Better,13,11,1,9
34,No,Travel_Rarely,1153,Research & Development,1,College,Medical,1,110,Low,Male,94,High,2,Manufacturing Director,2,Married,4325,17736,1,Y,No,15,Excellent,High,80,0,5,2,Better,5,2,1,3
56,No,Travel_Rarely,1400,Research & Development,7,Bachelor,Life Sciences,1,112,Very High,Male,49,Low,3,Manufacturing Director,4,Single,7260,21698,4,Y,No,11,Excellent,Low,80,0,37,3,Good,6,4,0,2
23,No,Travel_Rarely,541,Sales,2,Below College,Technical Degree,1,113,High,Male,62,High,1,Sales Representative,1,Divorced,2322,9518,3,Y,No,13,Excellent,High,80,1,3,3,Better,0,0,0,0
51,No,Travel_Rarely,432,Research & Development,9,Master,Life Sciences,1,116,Very High,Male,96,High,1,Laboratory Technician,4,Married,2075,18725,3,Y,No,23,Outstanding,Medium,80,2,10,4,Better,4,2,0,3
30,No,Travel_Rarely,288,Research & Development,2,Bachelor,Life Sciences,1,117,High,Male,99,Medium,2,Healthcare Representative,4,Married,4152,15830,1,Y,No,19,Excellent,Low,80,3,11,3,Better,11,10,10,8
46,Yes,Travel_Rarely,669,Sales,9,College,Medical,1,118,High,Male,64,Medium,3,Sales Executive,4,Single,9619,13596,1,Y,No,16,Excellent,Very High,80,0,9,3,Better,9,8,4,7
40,No,Travel_Frequently,530,Research & Development,1,Master,Life Sciences,1,119,High,Male,78,Medium,4,Healthcare Representative,2,Married,13503,14115,1,Y,No,22,Outstanding,Very High,80,1,22,3,Good,22,3,11,11
51,No,Travel_Rarely,632,Sales,21,Master,Marketing,1,120,High,Male,71,High,2,Sales Executive,4,Single,5441,8423,0,Y,Yes,22,Outstanding,Very High,80,0,11,2,Bad,10,7,1,0
30,No,Travel_Rarely,1334,Sales,4,College,Medical,1,121,High,Female,63,Medium,2,Sales Executive,2,Divorced,5209,19760,1,Y,Yes,12,Excellent,Medium,80,3,11,4,Good,11,8,2,7
46,No,Travel_Frequently,638,Research & Development,1,Bachelor,Medical,1,124,High,Male,40,Medium,3,Healthcare Representative,1,Married,10673,3142,2,Y,Yes,13,Excellent,High,80,1,21,5,Good,10,9,9,5
32,No,Travel_Rarely,1093,Sales,6,Master,Medical,1,125,Medium,Male,87,High,2,Sales Executive,3,Single,5010,24301,1,Y,No,16,Excellent,Low,80,0,12,0,Better,11,8,5,7
54,No,Travel_Rarely,1217,Research & Development,2,Master,Technical Degree,1,126,Low,Female,60,High,3,Research Director,3,Married,13549,24001,9,Y,No,12,Excellent,Low,80,1,16,5,Bad,4,3,0,3
24,No,Travel_Rarely,1353,Sales,3,College,Other,1,128,Low,Female,33,High,2,Sales Executive,3,Married,4999,17519,0,Y,No,21,Outstanding,Low,80,1,4,2,Good,3,2,0,2
28,No,Non-Travel,120,Sales,4,Bachelor,Medical,1,129,Medium,Male,43,High,2,Sales Executive,3,Married,4221,8863,1,Y,No,15,Excellent,Medium,80,0,5,3,Best,5,4,0,4
58,No,Travel_Rarely,682,Sales,10,Master,Medical,1,131,Very High,Male,37,High,4,Sales Executive,3,Single,13872,24409,0,Y,No,13,Excellent,High,80,0,38,1,Good,37,10,1,8
44,No,Non-Travel,489,Research & Development,23,Bachelor,Medical,1,132,Medium,Male,67,High,2,Laboratory Technician,2,Married,2042,25043,4,Y,No,12,Excellent,High,80,1,17,3,Best,3,2,1,2
37,Yes,Travel_Rarely,807,Human Resources,6,Master,Human Resources,1,133,High,Male,63,High,1,Human Resources,1,Divorced,2073,23648,4,Y,Yes,22,Outstanding,Very High,80,0,7,3,Better,3,2,0,2
32,No,Travel_Rarely,827,Research & Development,1,Below College,Life Sciences,1,134,Very High,Male,71,High,1,Research Scientist,1,Single,2956,15178,1,Y,No,13,Excellent,Very High,80,0,1,2,Better,1,0,0,0
20,Yes,Travel_Frequently,871,Research & Development,6,Bachelor,Life Sciences,1,137,Very High,Female,66,Medium,1,Laboratory Technician,4,Single,2926,19783,1,Y,Yes,18,Excellent,Medium,80,0,1,5,Better,1,0,1,0
34,No,Travel_Rarely,665,Research & Development,6,Master,Other,1,138,Low,Female,41,High,2,Research Scientist,3,Single,4809,12482,1,Y,No,14,Excellent,High,80,0,16,3,Better,16,13,2,10
37,No,Non-Travel,1040,Research & Development,2,College,Life Sciences,1,139,High,Male,100,Medium,2,Healthcare Representative,4,Divorced,5163,15850,5,Y,No,14,Excellent,Very High,80,1,17,2,Best,1,0,0,0
59,No,Non-Travel,1420,Human Resources,2,Master,Human Resources,1,140,High,Female,32,Medium,5,Manager,4,Married,18844,21922,9,Y,No,21,Outstanding,Very High,80,1,30,3,Better,3,2,2,2
50,No,Travel_Frequently,1115,Research & Development,1,Bachelor,Life Sciences,1,141,Low,Female,73,High,5,Research Director,2,Married,18172,9755,3,Y,Yes,19,Excellent,Low,80,0,28,1,Good,8,3,0,7
25,Yes,Travel_Rarely,240,Sales,5,Bachelor,Marketing,1,142,High,Male,46,Medium,2,Sales Executive,3,Single,5744,26959,1,Y,Yes,11,Excellent,Very High,80,0,6,1,Better,6,4,0,3
25,No,Travel_Rarely,1280,Research & Development,7,Below College,Medical,1,143,Very High,Male,64,Medium,1,Research Scientist,4,Married,2889,26897,1,Y,No,11,Excellent,High,80,2,2,2,Better,2,2,2,1
22,No,Travel_Rarely,534,Research & Development,15,Bachelor,Medical,1,144,Medium,Female,59,High,1,Laboratory Technician,4,Single,2871,23785,1,Y,No,15,Excellent,High,80,0,1,5,Better,0,0,0,0
51,No,Travel_Frequently,1456,Research & Development,1,Master,Medical,1,145,Low,Female,30,Medium,3,Healthcare Representative,1,Single,7484,25796,3,Y,No,20,Outstanding,High,80,0,23,1,Good,13,12,12,8
34,Yes,Travel_Frequently,658,Research & Development,7,Bachelor,Life Sciences,1,147,Low,Male,66,Low,2,Laboratory Technician,3,Single,6074,22887,1,Y,Yes,24,Outstanding,Very High,80,0,9,3,Better,9,7,0,6
54,No,Non-Travel,142,Human Resources,26,Bachelor,Human Resources,1,148,Very High,Female,30,Very High,4,Manager,4,Single,17328,13871,2,Y,Yes,12,Excellent,High,80,0,23,3,Better,5,3,4,4
24,No,Travel_Rarely,1127,Research & Development,18,Below College,Life Sciences,1,150,Medium,Male,52,High,1,Laboratory Technician,3,Married,2774,13257,0,Y,No,12,Excellent,High,80,1,6,2,Better,5,3,1,2
34,No,Travel_Rarely,1031,Research & Development,6,Master,Life Sciences,1,151,High,Female,45,Medium,2,Research Scientist,2,Divorced,4505,15000,6,Y,No,15,Excellent,High,80,1,12,3,Better,1,0,0,0
37,No,Travel_Rarely,1189,Sales,3,Bachelor,Life Sciences,1,152,High,Male,87,High,3,Sales Executive,4,Single,7428,14506,2,Y,No,12,Excellent,Low,80,0,12,3,Better,5,3,1,3
34,No,Travel_Rarely,1354,Research & Development,5,Bachelor,Medical,1,153,High,Female,45,Medium,3,Manager,1,Single,11631,5615,2,Y,No,12,Excellent,Very High,80,0,14,6,Better,11,10,5,8
36,No,Travel_Frequently,1467,Sales,11,College,Technical Degree,1,154,Medium,Female,92,High,3,Sales Executive,4,Married,9738,22952,0,Y,No,14,Excellent,High,80,1,10,6,Better,9,7,2,8
36,No,Travel_Rarely,922,Research & Development,3,College,Life Sciences,1,155,Low,Female,39,High,1,Laboratory Technician,4,Divorced,2835,2561,5,Y,No,22,Outstanding,Low,80,1,7,2,Better,1,0,0,0
43,No,Travel_Frequently,394,Sales,26,College,Life Sciences,1,158,High,Male,92,High,4,Manager,4,Married,16959,19494,1,Y,Yes,12,Excellent,Very High,80,2,25,3,Best,25,12,4,12
30,No,Travel_Frequently,1312,Research & Development,23,Bachelor,Life Sciences,1,159,Low,Male,96,Low,1,Research Scientist,3,Divorced,2613,22310,1,Y,No,25,Outstanding,High,80,3,10,2,Good,10,7,0,9
33,No,Non-Travel,750,Sales,22,College,Marketing,1,160,High,Male,95,High,2,Sales Executive,2,Married,6146,15480,0,Y,No,13,Excellent,Low,80,1,8,2,Best,7,7,0,7
56,Yes,Travel_Rarely,441,Research & Development,14,Master,Life Sciences,1,161,Medium,Female,72,High,1,Research Scientist,2,Married,4963,4510,9,Y,Yes,18,Excellent,Low,80,3,7,2,Better,5,4,4,3
51,No,Travel_Rarely,684,Research & Development,6,Bachelor,Life Sciences,1,162,Low,Male,51,High,5,Research Director,3,Single,19537,6462,7,Y,No,13,Excellent,High,80,0,23,5,Better,20,18,15,15
31,Yes,Travel_Rarely,249,Sales,6,Master,Life Sciences,1,163,Medium,Male,76,Low,2,Sales Executive,3,Married,6172,20739,4,Y,Yes,18,Excellent,Medium,80,0,12,3,Good,7,7,7,7
26,No,Travel_Rarely,841,Research & Development,6,Bachelor,Other,1,164,High,Female,46,Medium,1,Research Scientist,2,Married,2368,23300,1,Y,No,19,Excellent,High,80,0,5,3,Good,5,4,4,3
